7505,AWB-QLN
7509,ADB-QLN
7517,BIDAR-PVR
7525,NJP - NBQ DE
7526,NBQ - NJP DE
7603,KCG-KJM HSP
7604,KJM-KCG HSP
7607,NED-TPTY HOL
7608,TPTY-NED
7613,sabarimalai
7614,sabarimalai
7644,tpty spl
7645,RU-CCT
7757,SC-BZA  SPL
7758,BZA-SC  SPL
7941,CCT-TPTY HSP
7942,TPTY-COASPL
8001,KGP-JGM BI-W
8002,JGM-KGP BI-W
8014,MDN-KGP MEMU
8017,KGP-JGM MEMU
8018,JGM-KGP MEMU
8035,BLS - KGP DE
8036,BLS - KGP ME
8051,KGP JGM MEMU
8052,JGM KGP MEMU
8061,SHM JP SPL W
8062,JP SHM SPL W
8063,KGP-BQA DEMU
8064,BQA-KGP DEMU
8065,KGP-BQA MEMU
8082,BQA-VSU MEMU
8087,VSU-BQA MEMU
8101,CBSA CKP DEM
8102,CKP-CBSA DEM
8301,SBP-BAND WEE
8302,BAND-SBP WEE
8403,PURI-SRC WEE
8404,SRC-PURI WEE
8501,VSKP SC WEEK
8502,SC VSKP SPEC
8511,KRDL-VSKP SP
8512,VSKP-KRDL SP
8567,VSKP-QLN BI-
8568,QLN-VSKP BI-
8573,VSKP-TPTY WE
8574,TPTY-VSKP SP
8581,BPQ CAF PASS
8582,CAF BPQ SPL
8617,RNC ANVT SPL
8618,ANVT RNC SPL
8627,HWH RNC SPL
8628,RNC HWH  SPL
8872,DURG-G PASS
9003,BDTS NZM  SF
9004,NZM  BDTS SF
9005,BCT NDLS BI
9006,NDLS BCT BI
9011,BDTS BKN WEE
9012,BKN BDTS WEE
9433,BDTS GIMB WE
9434,GIMB BDTS WE
9621,AII BDTS SF
9622,BDTS AII SF
9721,JP UDZ SF SP
9722,UDZ JP SF SP
9761,SGNR-SOG SPL
9809,KOTA-NZM DAI
9810,NZM-KOTA DAI
10103,MANDOVI EXPR
10104,MANDOVI EXPR
10111,KONKAN KANYA
10112,KONKAN KANYA
10215,MAO-ERS
10216,ERS-MAO SPL
11001,SNSI-PVR EXP
11002,PVR-SNSI EXP
11003,DR-SWV TUTAR
11004,SWV-DR TUTAR
11005,DR-PDY EXPRE
